name,l,b,Vlos,Vlos_err,ref_velocity,D_mod,D_mod_err,ref_Distance
Andromeda XXV,119.1543925,-15.8542685,-107.7,1,Charles2023MNRAS.521.3527C,24.38,0.06,Savino2022ApJ...938..101S
Andromeda XXVI,118.14508,-14.702501,-261.6,2.8,Collins2013ApJ...768..172C,24.48,0.07,Savino2022ApJ...938..101S
Andromeda XXVII,120.3590013,-17.4149246,-539.6,4.5,Collins2013ApJ...768..172C,24.59,0.12,Richardson2011ApJ...732...76R
Andromeda XXVIII,91.0304648,-22.9263945,-331.1,1.8,Tollerud2013ApJ...768...50T,24.36,0.05,Savino2022ApJ...938..101S
Andromeda XXIX,109.8015984,-30.7737523,-194.4,1.5,Tollerud2013ApJ...768...50T,24.26,0.06,Savino2022ApJ...938..101S
Cassiopeia II,120.4624298,-13.1535361,-139.8,6.6,Collins2013ApJ...768..172C,23.74,0.06,Savino2022ApJ...938..101S
Cassiopeia III,120.4799614,-11.2379762,-371.6,0.7,Martin2014ApJ...793L..14M,24.52,0.06,Savino2022ApJ...938..101S
IC 10,118.9726887,-3.3413375,-348,1,McConnachie2012AJ....144....4M,24.43,0.03,McQuinn2017ApJ...834...78M
Lacerta I,101.0962317,-16.7149811,-198.4,1.1,Martin2014ApJ...793L..14M,24.36,0.05,Savino2022ApJ...938..101S
LGS 3,126.7624627,-40.893917,-286.5,0.3,McConnachie2012AJ....144....4M,23.91,0.05,Savino2022ApJ...938..101S
M 32,121.1498965,-21.9763885,-199,6,McConnachie2012AJ....144....4M,24.44,0.06,Savino2022ApJ...938..101S
NGC 147,119.8158592,-14.2535533,-193.1,0.8,McConnachie2012AJ....144....4M,24.33,0.06,Savino2022ApJ...938..101S
NGC 185,120.7918562,-14.4838083,-203.8,1.1,McConnachie2012AJ....144....4M,24.06,0.06,Savino2022ApJ...938..101S
NGC 205,120.717803,-21.1377936,-246,1,McConnachie2012AJ....144....4M,24.61,0.06,Savino2022ApJ...938..101S
Perseus I,147.818198,-15.5235742,-326,3,Martin2014ApJ...793L..14M,24.24,0.06,Savino2022ApJ...938..101S
AGC249525,11.7809155,67.8766519,48,,Rhode2023AJ....166..113R,26.6,,Rhode2023AJ....166..113R
AGC268071,28.2401727,41.522484,109,,Rhode2023AJ....166..113R,23.78,,Rhode2023AJ....166..113R
AGC749235,219.7669777,83.8428288,288,,Karachentsev2013AJ....145..101K,27.16,,Karachentsev2013AJ....145..101K
Antlia,263.0970707,22.3122546,362,2,Barnes2001AJ....122..825B,25.6,0.07,Newman2024ApJ...966..175N
Antlia B,259.4146249,21.0783463,375.5,1.5,Zoutendijk2021arXiv211209374Z,25.65,0.1,Hargis2020ApJ...888...31H
Aquarius,34.0490904,-31.343219,-141.8,2,Kirby2017ApJ...834....9K,24.97,0.09,Higgs2021MNRAS.503..176H
Cetus,101.4548414,-72.854557,-83.9,1.2,Kirby2014MNRAS.439.1015K,24.39,0.07,McConnachie2012AJ....144....4M
DDO 99,166.1956761,72.7462165,251,4,McConnachie2012AJ....144....4M,27.07,0.14,McConnachie2012AJ....144....4M
DDO 113,161.1015963,78.060458,284,6,McConnachie2012AJ....144....4M,27.35,0.06,McConnachie2012AJ....144....4M
DDO 125,137.7580231,72.9422475,194.9,0.2,McConnachie2012AJ....144....4M,27.06,0.05,McConnachie2012AJ....144....4M
DDO 147,128.406603,80.6035091,331,,Tully2009AJ....138..323T,27.34,0.08,Tully2009AJ....138..323T
DDO 190,82.0085345,64.4771269,150,4,McConnachie2012AJ....144....4M,27.23,0.01,Newman2024ApJ...966..175N
ESO 006-001,297.9558393,-25.2234619,319,57,Makarova2023ApJ...943..139M,27.16,0.09,Makarova2023ApJ...943..139M
ESO 274-001,326.8039911,9.3341415,522,,Tully2009AJ....138..323T,27.18,0.08,Tully2009AJ....138..323T
ESO 294-G010,320.4139702,-74.4171349,106.9,0.8,Bouchard2005AJ....130.2058B,26.54,0.04,McConnachie2012AJ....144....4M
ESO 410-G005,357.8395792,-80.7103356,158.9,1.9,Bouchard2005AJ....130.2058B,26.42,0.04,McConnachie2012AJ....144....4M
GR 8,310.7289689,76.980008,213.9,2.5,Young2003ApJ...592..111Y,26.69,0.12,McConnachie2012AJ....144....4M
HIZSS 3A,217.708123,0.0905337,288,2.5,McConnachie2012AJ....144....4M,26.12,0.14,McConnachie2012AJ....144....4M
HIZSS 3B,217.708123,0.0905337,322.6,1.4,McConnachie2012AJ....144....4M,26.12,0.14,McConnachie2012AJ....144....4M
IC 1613,129.7377976,-60.5773205,-231.6,1.2,Kirby2014MNRAS.439.1015K,24.32,0.05,Savino2022ApJ...938..101S
IC 3104,301.4139777,-16.9507838,429,4,McConnachie2012AJ....144....4M,26.78,0.18,McConnachie2012AJ....144....4M
IC 4662,328.5486164,-17.8496506,302,3,McConnachie2012AJ....144....4M,26.94,0.17,McConnachie2012AJ....144....4M
IC 5152,343.9189919,-50.1922504,122,2,McConnachie2012AJ....144....4M,26.45,0.05,McConnachie2012AJ....144....4M
KK 153,127.0605366,58.609906,127.5,0.2,Xu2025ApJ...982L..36X,26.51,1.11,Xu2025ApJ...982L..36X
KK 258,17.7288638,-61.2774225,92,5,Karachentsev2014MNRAS.443.1281K,26.85,0.07,Karachentsev2014MNRAS.443.1281K
KKH 86,339.045484,62.6036984,287.2,0.7,McConnachie2012AJ....144....4M,27.06,0.16,McConnachie2012AJ....144....4M
KKH 98,109.0931464,-22.3773711,-136.9,1,McConnachie2012AJ....144....4M,27.01,0.09,McConnachie2012AJ....144....4M
KKR 3,63.7098664,71.9922108,63.3,1.8,McConnachie2012AJ....144....4M,26.7,0.12,McConnachie2012AJ....144....4M
KKR 25,83.87891,44.4083527,-139.5,1,McConnachie2012AJ....144....4M,26.42,0.07,McConnachie2012AJ....144....4M
KKs 3,294.2351991,-42.001948,316,7,Karachentsev2015AN....336..707K,26.63,0.07,Karachentsev2015MNRAS.447L..85K
Leo A,196.9036467,52.4226186,26.2,0.9,Kirby2017ApJ...834....9K,24.51,0.12,Dolphin2002AJ....123.3154D
Leo P,219.6377833,54.4352373,260.8,2.5,BernsteinCooper2014AJ....148...35B,26.05,0.2,McQuinn2015ApJ...812..158M
Leo T,214.8524119,43.6609407,38.1,2,Simon2007ApJ...670..313S,23.08,0.08,Higgs2021MNRAS.503..176H
NGC 55,332.8819727,-75.7308757,129,2,McConnachie2012AJ....144....4M,26.43,0.12,McConnachie2012AJ....144....4M
NGC 300,299.2082537,-79.418825,146,2,McConnachie2012AJ....144....4M,26.6,0.06,Tully2009AJ....138..323T
NGC 3109,262.1018221,23.0701155,403,2,McConnachie2012AJ....144....4M,25.57,0.08,McConnachie2012AJ....144....4M
NGC 4163,163.202662,77.7009608,165,5,McConnachie2012AJ....144....4M,27.28,0.02,Tully2009AJ....138..323T
NGC 4190,160.62,77.589457,235,,Tully2009AJ....138..323T,27.21,0.06,Tully2009AJ....138..323T
NGC 4214,160.2527295,78.074153,293,,Tully2009AJ....138..323T,27.25,0.07,Tully2009AJ....138..323T
NGC 6822,25.3512537,-18.3892119,-54.5,1.7,Kirby2014MNRAS.439.1015K,23.78,0.05,Higgs2021MNRAS.503..176H
Pavo,335.8491483,-31.1294421,223.7,3.6,Jones2025ApJ...990..164J,26.67,0.08,MutluPakdil2025arXiv250916307M
Pegasus dIrr,94.7769,-43.554142,-179.5,1.5,Kirby2014MNRAS.439.1015K,24.74,0.05,Savino2022ApJ...938..101S
Phoenix,272.1615227,-68.9497052,-21.2,1,Kacharov2017MNRAS.466.2006K,23.06,0.12,Battaglia2012MNRAS.424.1113B
Sagittarius dIrr,21.0533675,-16.2859002,-78.4,1.6,Kirby2017ApJ...834....9K,25.39,0.08,Higgs2021MNRAS.503..176H
Sextans A,246.1481946,39.8755465,324,2,Koribalski2004AJ....128...16K,25.74,0.058,Yan2025ApJ...986...54Y
Sextans B,233.2000758,43.783781,304,1,Hoffman1996ApJS..105..269H,25.72,0.056,Dalcanton2009ApJS..183...67D
Tucana,322.9082681,-47.3693638,180,1.3,Taibi2020A&A...635A.152T,24.74,0.12,McConnachie2012AJ....144....4M
UGC 4879,164.665239,42.8843178,-29.2,1.6,Kirby2014MNRAS.439.1015K,25.43,0.06,Higgs2021MNRAS.503..176H
UGC 8508,111.1415267,61.3087485,56,5,McConnachie2012AJ....144....4M,27.06,0.03,McConnachie2012AJ....144....4M
UGC 9128,25.5726569,70.4644892,152,1,McConnachie2012AJ....144....4M,26.75,0.02,Newman2024ApJ...966..175N
UGCA 86,139.7624681,10.6471738,67,4,McConnachie2012AJ....144....4M,27.36,0.17,McConnachie2012AJ....144....4M
UKS 2323-326,11.8670081,-70.8588706,62,5,McConnachie2012AJ....144....4M,26.72,0.09,McConnachie2012AJ....144....4M
WLM,75.8636863,-73.6243517,-130,1,Leaman2012ApJ...750...33L,24.977,0.059,Yan2025ApJ...986...54Y
A0952+69,141.7370396,40.9195914,99,,Lang2003MNRAS.342..738L,27.97,0.17,Tully2009AJ....138..323T
AGC 112521,136.3020652,-34.2543922,274,1,Haynes2011AJ....142..170H,29.09,0.05,McQuinn2021ApJ...918...23M
AGC 238890,22.9607275,80.5698734,360,3,Haynes2011AJ....142..170H,28.64,0.03,McQuinn2021ApJ...918...23M
AGC 239141,90.6758591,79.958896,326,,Karachentsev2013AJ....145..101K,27.87,,Karachentsev2013AJ....145..101K
AGC 749241,229.8487657,87.3278512,451,1,Haynes2011AJ....142..170H,28.75,0.05,McQuinn2021ApJ...918...23M
Andromeda IV,121.1058578,-22.2685245,234,1,Begum2008MNRAS.386.1667B,29.28,0.09,Karachentsev2016AN....337..306K
BK3N,142.3142004,40.8269315,-40,,Tikhonov1993A&A...275...39T,28.1,0.13,Tully2009AJ....138..323T
BTS 116,199.8287975,82.6808791,322.9,22.8,Karachentsev2013AJ....145..101K,27.51,,Karachentsev2013AJ....145..101K
Camelopardalis A,137.2502489,16.1974935,-54.2,1.7,Begum2008MNRAS.386.1667B,27.76,0.13,Tully2009AJ....138..323T
Camelopardalis B,143.3844108,14.4229983,77.5,1.7,Begum2008MNRAS.386.1667B,27.72,0.16,Tully2009AJ....138..323T
Cassiopea dIrr 1,129.5687555,7.1062553,35,2,Huchtmeier1995A&A...293L..33H,28.27,,Anand2021AJ....162...80A
dw1322-39,309.4021076,22.5712386,656.3,9.7,Muller2021A&A...645A..92M,27.35,0.06,Muller2019A&A...629A..18M
dw1323-40a,309.7555194,21.6648677,450,14.2,Muller2021A&A...645A..92M,27.86,0.19,Muller2019A&A...629A..18M
dw1323-40b,309.5492,21.6162909,497,12.4,Muller2021A&A...645A..92M,27.96,0.62,Muller2019A&A...629A..18M
dw1335-29,314.3129196,32.18366,706,17.8,Muller2025A&A...699A.207M,28.5,0.1,Carrillo2017MNRAS.465.5026C
dw1340-30,315.2787637,31.3374492,429.3,21.6,Muller2025A&A...699A.207M,28.52,0.03,Muller2018A&A...615A..96M
dw1341-29,315.7401234,32.0601801,483.4,20.6,Muller2025A&A...699A.207M,28.45,,Muller2024A&A...684L...6M
dw1341-43,312.4156773,18.090785,636.4,14.1,Muller2021A&A...645A..92M,27.74,0.03,Muller2019A&A...629A..18M
dw1342-43,312.7536387,18.6355522,510.3,8.1,Muller2021A&A...645A..92M,27.31,0.22,Muller2019A&A...629A..18M
Fluffy,307.9836234,18.4520193,764.3,2.42,Dumont2022ApJ...929..147D,27.83,,
KV19-212,308.9571838,18.625816,571.5,2.42,Dumont2022ApJ...929..147D,27.83,,
KV19-271,309.3913698,18.9388671,548.3,2.42,Dumont2022ApJ...929..147D,27.83,,
KV19-329,309.7999522,19.6972306,657.3,2.42,Dumont2022ApJ...929..147D,27.83,,
KV19-442,310.4385869,19.9215305,476.5,2.42,Dumont2022ApJ...929..147D,27.83,,
Cepheus1,94.3731809,8.0115769,33,7,Makarov2003A&A...405..951M,29.44,,
CGCG 189-050,98.0743347,77.9098879,334,1,Karachentsev2024A&A...684L..24K,28.12,,Karachentsev2024A&A...684L..24K
CGCG 217-018,106.0337693,75.8743212,565,1,Karachentsev2024A&A...684L..24K,29.78,,
Corvus A,290.3171104,45.5751079,523,2,Jones2024ApJ...971L..37J,27.62,0.07,MutluPakdil2025arXiv250916307M
DDO 6,119.3807763,-83.8775613,295.4,5,Westmeier2017MNRAS.472.4832W,27.68,0.1,Jacobs2009AJ....138..332J
DDO 53,149.2998676,34.9521138,19.2,1.7,Begum2008MNRAS.386.1667B,27.83,0.03,Tully2009AJ....138..323T
DDO 78,141.1375726,43.9970271,55,10,,27.71,0.03,Tully2009AJ....138..323T
DDO 82,137.8957061,42.1780113,56,3,Makarov2003A&A...405..951M,27.97,0.01,Tully2009AJ....138..323T
DDO 126,148.5971067,78.7434929,217,17,Kovac2009MNRAS.400..743K,28.48,0.07,Tully2009AJ....138..323T
DDO 127,147.1235585,78.7937178,275,17,Kovac2009MNRAS.400..743K,28.37,0.07,Tully2009AJ....138..323T
DDO 133,164.2965948,84.02124,331,,Karachentsev2013AJ....145..101K,28.44,0.05,Tully2009AJ....138..323T
DDO 153,303.9015155,50.7615704,821,1,Warren2007AJ....134.1849W,29.9,,
DDO 154,35.0614838,89.4103597,374,1,Haynes2011AJ....142..170H,28.03,0.03,Tully2009AJ....138..323T
DDO 161,306.9532253,45.3562087,744,18,Doyle2005MNRAS.361...34D,28.9,0.09,Karachentsev2018ApJ...858...62K
DDO 165,120.7472656,49.3603688,30.7,0.2,Huchtmeier2003A&A...401..483H,28.42,0.02,Tully2009AJ....138..323T
DDO 167,111.6241725,70.3237931,150.2,1.7,Begum2008MNRAS.386.1667B,28.14,0.16,Tully2009AJ....138..323T
DDO 168,110.761739,70.6605429,191,8,Stil2002A&A...389...29S,28.14,0.08,Tully2009AJ....138..323T
DDO 169,111.4819059,69.0930819,262,5.2,Simpson2000AJ....120.2975S,28.22,0.05,Tully2009AJ....138..323T
DDO 169NW,111.596962,69.0552538,242,1.6,Simpson2000AJ....120.2975S,28.18,0.13,Tully2009AJ....138..323T
DDO 181,89.7368919,73.1164433,213.6,1.7,Begum2008MNRAS.386.1667B,27.46,0.04,Tully2009AJ....138..323T
DDO 183,77.7916651,73.4478193,188.4,1.7,Begum2008MNRAS.386.1667B,27.6,0.05,Tully2009AJ....138..323T
DDO 226,101.1819535,-84.7645855,361,2,Huchtmeier2000A&AS..141..469H,28.46,0.13,Tully2009AJ....138..323T
dw1343+58,110.2367956,57.6085671,195,1,Karunakaran2020AJ....159...37K,28.74,,Tully2009AJ....138..323T
ESO 059-001,279.7732466,-21.4735022,530,3,Kirby2012MNRAS.420.2924K,28.33,0.03,Tully2009AJ....138..323T
ESO104-044,331.8544437,-26.3750175,750,,Karachentsev2013AJ....145..101K,29.94,0.18,Tully2009AJ....138..323T
ESO 115-021,282.800862,-51.4302026,515,2,Koribalski2004AJ....128...16K,28.53,0.02,Tully2009AJ....138..323T
ESO 121-020,266.5064027,-27.3171299,587,2,Kirby2012MNRAS.420.2924K,28.92,0.05,Tully2009AJ....138..323T
ESO 137-018,326.1061312,-7.4259132,603,1,Kirby2012MNRAS.420.2924K,28.84,0.08,Tully2009AJ....138..323T
ESO 154-023,271.8087792,-54.3050415,574,2,Koribalski2004AJ....128...16K,28.84,0.02,Tully2009AJ....138..323T
ESO 199-007,263.9952274,-57.0662083,630,18,Doyle2005MNRAS.361...34D,28.9,0.06,Tully2009AJ....138..323T
ESO 215-009,284.0635666,10.4747483,598,1,Kirby2012MNRAS.420.2924K,28.69,0.02,Tully2009AJ....138..323T
ESO 222-010,319.7054425,10.0458485,620,18,Doyle2005MNRAS.361...34D,27.49,,Anand2021AJ....162...80A
ESO 245-005,273.0762675,-70.2893807,393,1,Kirby2012MNRAS.420.2924K,28.3,0.06,Tully2009AJ....138..323T
ESO 269-037,305.0994396,16.2338925,743.8,2.1,Karachentsev2013AJ....145..101K,27.59,0.06,Tully2009AJ....138..323T
ESO 269-058,306.3160632,15.7553077,400,18,Banks1999ApJ...524..612B,27.87,0.01,Tully2009AJ....138..323T
ESO 269-066,306.9689998,17.811461,784,31,Jerjen2000AJ....119..166J,27.91,,Karachentsev2013AJ....145..101K
ESO 272-025,323.0211866,13.7540585,631,18,Doyle2005MNRAS.361...34D,27.96,,Tully2009AJ....138..323T
ESO 273-014,324.0128616,9.9045324,1052,2,Makarov2014A&A...570A..13M,29.98,,Karachentsev2013AJ....145..101K
ESO 290-028,351.3844599,-62.0414294,929,3,Makarov2014A&A...570A..13M,29.97,,
ESO 300-016,246.0991705,-58.6179837,710,3,Makarov2014A&A...570A..13M,29.85,,Anand2021AJ....162...80A
ESO 320-014,287.7082338,21.4671427,654.2,18,Doyle2005MNRAS.361...34D,28.89,0.04,Tully2009AJ....138..323T
ESO 321-014,294.8532481,24.0496495,609.4,1.7,Begum2008MNRAS.386.1667B,27.61,0.09,Tully2009AJ....138..323T
ESO 324-024,310.174893,20.8817268,514,18,Doyle2005MNRAS.361...34D,27.89,0.05,Tully2009AJ....138..323T
ESO 325-011,313.5037785,19.9083186,544,1,Kirby2012MNRAS.420.2924K,27.66,0.03,Tully2009AJ....138..323T
ESO 346-007,0.0264235,-62.7901619,890,15,Makarov2014A&A...570A..13M,29.97,,
ESO 349-031,351.4797202,-78.1167024,221,6,Koribalski2004AJ....128...16K,27.53,0.04,Tully2009AJ....138..323T
ESO 379-007,289.5840257,27.8392458,644,1.7,Begum2008MNRAS.386.1667B,28.68,0.06,Tully2009AJ....138..323T
ESO 379-024,292.4329382,26.1790529,632.4,18,Doyle2005MNRAS.361...34D,28.69,,Tully2009AJ....138..323T
ESO 381-018,301.4033939,26.8853606,624.5,,Doyle2005MNRAS.361...34D,28.68,0.05,Tully2009AJ....138..323T
ESO 381-020,301.6405775,29.021168,589,1,Kirby2012MNRAS.420.2924K,28.69,0.05,Tully2009AJ....138..323T
ESO 383-087,315.8400507,25.3542817,326,2,Koribalski2004AJ....128...16K,27.52,0.02,Tully2009AJ....138..323T
ESO 384-016,317.732251,25.6467807,561,,Karachentsev2013AJ....145..101K,28.26,0.03,Tully2009AJ....138..323T
ESO 443-009,303.856553,34.5246987,645,,Karachentsev2013AJ....145..101K,28.88,0.1,Tully2009AJ....138..323T
ESO 444-084,315.1204473,33.7369861,587,3,Koribalski2004AJ....128...16K,28.32,0.19,Karachentsev2002A&A...385...21K
ESO 472-015,42.7250462,-79.7435225,655,46,Makarov2014A&A...570A..13M,29.32,,
ESO 540-032,121.0017922,-82.7745976,227.7,0.9,Bouchard2005AJ....130.2058B,27.8,0.03,Jacobs2009AJ....138..332J
GALFA Dw3,164.1419167,-38.8322703,503,35,Sand2015ApJ...806...95S,29.41,0.08,Bennet2022ApJ...924...98B
GALFA Dw4,195.6607317,-9.3216726,607,35,Sand2015ApJ...806...95S,27.46,0.12,Bennet2022ApJ...924...98B
GARLAND,141.9152194,41.7121911,43,17,Karachentsev1985MNRAS.217..731K,27.91,0.24,Karachentsev2002A&A...383..125K
Grapes,140.2637857,60.2939867,321,210,Karachentsev2013AJ....145..101K,28.88,,Anand2021AJ....162...80A
HIDEEP J1337-3320,313.7576034,28.5489009,592.1,0.8,Grossi2007MNRAS.374..107G,28.29,0.15,Tully2009AJ....138..323T
HIJASS J1021+6842,140.5519142,42.9175389,46,,Boyce2001ApJ...560L.127B,27.79,,
HIPASS J0630+08,203.0760325,-0.8827963,367,1,Donley2005AJ....129..220D,28.55,,Karachentsev2013AJ....145..101K
HIPASS J1131-31,283.6807287,28.1943738,716,1,Koribalski2018MNRAS.478.1611K,29.2,0.2,Karachentsev2023MNRAS.518.5893K
HIPASS J1133-32,284.5349482,27.09888,709,18,Doyle2005MNRAS.361...34D,28.74,0.06,Tully2009AJ....138..323T
HIPASS J1247-77,302.716587,-14.7124954,413,3,Koribalski2004AJ....128...16K,27.7,0.16,Tully2009AJ....138..323T
HIPASS J1337-39,312.431542,22.1243075,492,4,Koribalski2004AJ....128...16K,28.53,0.11,Tully2009AJ....138..323T
HIPASS J1348-37,315.1782399,23.5416838,582.4,,Doyle2005MNRAS.361...34D,28.76,0.06,Tully2009AJ....138..323T
HIPASS J1351-47,313.4316594,14.6463281,529,18,Doyle2005MNRAS.361...34D,28.79,0.12,Tully2009AJ....138..323T
HIPASS J1441-62,315.1711075,-2.5457468,672,8,Koribalski2004AJ....128...16K,28.63,,Karachentsev2013AJ....145..101K
HIZOA J1149-62,295.7911943,-0.1719708,512,4,StaveleySmith2016AJ....151...52S,28.27,,Karachentsev2013AJ....145..101K
HIZSS-021,244.2316472,-1.8308505,494,10,Koribalski2004AJ....128...16K,28.81,0.14,Anand2019ApJ...880...52A
Holmberg I,140.7249774,38.6596391,139.4,0.1,Huchtmeier2003A&A...401..483H,28.02,0.03,Tully2009AJ....138..323T
Holmberg II,144.2839003,32.6882514,157,,Thuan1981ApJ...247..823T,27.7,0.02,Tully2009AJ....138..323T
Holm IV,103.7014262,60.7965635,140,17,Broeils1994A&AS..107..129B,29.2,0.15,Tikhonov2015AstL...41..239T
Holmberg IX,141.9794435,41.0576476,46,,Karachentsev2004AJ....127.2031K,27.93,0.07,Tully2009AJ....138..323T
IC239,144.3321071,-19.4990551,903,2,Makarov2014A&A...570A..13M,30.083,,
IC1959,261.2766176,-51.5420336,640,4,Koribalski2004AJ....128...16K,28.96,0.03,Tully2009AJ....138..323T
IC 2574,140.2047332,43.6032347,43,4,Appleton1981MNRAS.195..327A,27.97,0.02,Tully2009AJ....138..323T
IC 2684,240.6885222,63.8495127,588,2,Haynes2011AJ....142..170H,30.23,,
IC 2782,242.0363983,65.208841,853,8,Makarov2014A&A...570A..13M,30.1,0.28,Carlsten2022ApJ...933...47C
IC 2787,241.8121978,65.3991324,842,58,Makarov2014A&A...570A..13M,30.22,0.24,Carlsten2022ApJ...933...47C
IC 2791,243.311871,65.0132486,666,3,Haynes2011AJ....142..170H,29.99,0.22,Carlsten2022ApJ...933...47C
IC3571,229.269374,86.4666885,1175,33,Makarov2014A&A...570A..13M,30.36,,
IC 3687,131.9532287,78.4638787,349.7,17,Kovac2009MNRAS.400..743K,28.3,0.07,Tully2009AJ....138..323T
IC 3840,303.7482939,84.6065018,557,,Eder2000ApJS..131...47E,28.88,0.08,Karachentsev2018ApJ...858...62K
IC 4182,107.7064009,79.0937183,324,,Karachentsev2013AJ....145..101K,28.19,0.03,Tully2009AJ....138..323T
IC 4247,311.9022172,31.8936094,420,,Banks1999ApJ...524..612B,28.57,0.03,Tully2009AJ....138..323T
IC 4316,315.6592351,32.7668098,576.3,1.7,Begum2008MNRAS.386.1667B,28.19,0.03,Tully2009AJ....138..323T
IC 5052,325.1727968,-35.8074035,584,3,Koribalski2004AJ....128...16K,28.7,0.06,Tully2009AJ....138..323T
JKB83,141.7848518,40.7655125,55.5,10,James2017MNRAS.465.3977J,27.79,,
JKB129,110.0897891,-53.4863872,692,1,Haynes2018ApJ...861...49H,29.75,,Karachentsev2013AJ....145..101K
JKB142,141.3701079,-44.5386921,722,2,Karachentsev2013AJ....145..101K,30.11,,Karachentsev2013AJ....145..101K
Kamino,272.0575278,-42.1472386,526,21,MutluPakdil2025arXiv250916307M,28.88,0.09,MutluPakdil2025arXiv250916307M
KDG 2,119.7801348,-80.9343837,223.5,2.7,Bouchard2005AJ....130.2058B,27.76,0.04,Jacobs2009AJ....138..332J
KDG 52,143.8173833,33.0140153,116,1.7,Begum2008MNRAS.386.1667B,27.67,0.05,Tully2009AJ....138..323T
KDG 56,210.5096407,43.6355329,561.4,1.3,Huchtmeier2003A&A...401..483H,29.78,0.13,Carlsten2022ApJ...933...47C
KDG 61,142.5003639,41.2830918,221,3,Makarova2010MNRAS.406.1152M,27.82,0.02,Tully2009AJ....138..323T
KDG 64,142.588919,42.4818183,-18.4,3.4,Afanasiev2023MNRAS.520.6312A,27.87,0.02,Tully2009AJ....138..323T
KDG 73,136.8819778,44.2324185,115.8,0.5,Huchtmeier2003A&A...401..483H,27.96,0.14,Tully2009AJ....138..323T
KDG 215,310.157231,82.0214076,419,9,Schombert1997ApJS..111..233S,28.42,0.06,Tully2009AJ....138..323T
KK 16,139.7487602,-32.8221324,207,2,Haynes2011AJ....142..170H,28.75,0.04,Tully2009AJ....138..323T
KK 17,83.4278785,-20.6106767,168,2,Huchtmeier2003A&A...401..483H,28.5,0.05,Tully2009AJ....138..323T
KK 27,282.912652,-44.5507701,533,,Karachentsev2013AJ....145..101K,28.13,0.05,Tully2009AJ....138..323T
KK 35,138.2010743,10.3049183,-66,3,,28.06,,Anand2021AJ....162...80A
KK 69,189.9861236,38.856001,462,1.7,Begum2008MNRAS.386.1667B,29.84,0.06,Tully2009AJ....138..323T
KK 109,156.8502064,68.9824892,210.7,1.7,Begum2008MNRAS.386.1667B,28.27,0.17,Karachentsev2003A&A...398..467K
KK 135,131.0196335,58.5812242,215,40,Karachentsev2015Ap.....58..309K,28.69,,Tully2009AJ....138..323T
KK 144,198.135386,84.1031958,480,1.7,Begum2008MNRAS.386.1667B,28.89,0.08,Karachentsev2018ApJ...858...62K
KK 160,127.6722052,73.3973224,293.3,0.6,Huchtmeier2003A&A...401..483H,28.18,0.11,Tully2009AJ....138..323T
KK 176,305.6914995,43.4131404,825.4,0.5,Huchtmeier2003A&A...401..483H,29.31,0.09,Karachentsev2018ApJ...858...62K
KK 177,330.0501406,84.2665302,267,60,Kim2014ApJS..215...22K,28.42,0.07,Karachentsev2018ApJ...858...62K
KK 182,305.7505788,22.7145521,617,4,Koribalski2004AJ....128...16K,28.87,0.13,Tully2009AJ....138..323T
KK 189,307.1782051,20.8640204,752.6,4,Muller2021A&A...645A..92M,28.13,0.09,Tully2009AJ....138..323T
KK 195,310.3083163,30.9162965,571.9,1.7,Begum2008MNRAS.386.1667B,28.75,0.1,Tully2009AJ....138..323T
KK 196,308.5425704,17.4775577,741,,Karachentsev2013AJ....145..101K,27.99,0.06,Tully2009AJ....138..323T
KK 197,308.9214607,19.9801332,642.7,2.9,Muller2021A&A...645A..92M,27.92,0.02,Tully2009AJ....138..323T
KK 200,311.2570494,31.3634396,493.69,,Begum2008MNRAS.386.1667B,28.39,0.06,Tully2009AJ....138..323T
KK 203,309.540587,17.0564085,305.9,9.5,Muller2021A&A...645A..92M,27.88,0.14,Tully2009AJ....138..323T
KK 208,314.54928,32.2802703,439.9,15.6,Muller2025A&A...699A.207M,28.5,0.08,Tully2009AJ....138..323T
KK 218,316.9436971,31.3856845,594.9,9,Muller2025A&A...699A.207M,28.47,0.06,Tully2009AJ....138..323T
KK 242,100.5402964,30.3561964,-66,10,Pustilnik2022MNRAS.516.6180P,29.05,0.11,Karachentsev2022AJ....163...51K
KKH 5,125.4902277,-11.3514592,61,8,Karachentsev2001A&A...366..428K,28.62,,Tully2009AJ....138..323T
KKH 6,129.68401,-10.2098664,59.9,1.7,Begum2008MNRAS.386.1667B,27.64,0.07,Tully2009AJ....138..323T
KKH 11,135.7401564,-4.5263198,111,10,Karachentsev2025MNRAS.537L..21K,28.93,,Karachentsev2025MNRAS.537L..21K
KKH 12,135.5787086,-3.0073433,70,1.7,Begum2008MNRAS.386.1667B,28.73,,Karachentsev2013AJ....145..101K
KKH 18,152.0338755,-21.6323805,216,,Karachentsev2013AJ....145..101K,28.4,0.13,Tully2009AJ....138..323T
KKH 22,135.4980903,13.5689375,30,10,Karachentsev2020A&A...638A.111K,27.47,0.13,Karachentsev2020A&A...638A.111K
KKH 34,140.4231058,22.3464909,106,2,Begum2008MNRAS.386.1667B,29.31,0.11,Karachentsev2020A&A...638A.111K
KKH 37,133.9839053,26.5371293,11,7,Makarov2003A&A...405..951M,27.68,0.04,Tully2009AJ....138..323T
KKs 54,310.3489226,30.551943,621.3,10.6,Muller2021A&A...645A..92M,27.87,0.12,Muller2019A&A...629A..18M
