name,l,b,Vlos,Vlos_err,ref_velocity,D_mod,D_mod_err,ref_Distance
NGC 5195,104.8900219,68.48724,455,10.9,Springob2005ApJS..160..149S,29.42,0.27,Tonry2001ApJ...546..681T
NGC 5204,113.5007357,58.0061159,201,2.1,Springob2005ApJS..160..149S,28.31,0.23,Tully2009AJ....138..323T
NGC 5206,310.1842261,14.1241847,583,6,Peterson1993AJ....105.1411P,27.51,0.01,Tully2009AJ....138..323T
NGC 5237,311.8775306,19.220151,361,4,Koribalski2004AJ....128...16K,27.53,0.01,Tully2009AJ....138..323T
NGC 5238,107.4046325,64.1900248,229,,Thuan1981ApJ...247..823T,28.27,0.02,Tully2009AJ....138..323T
NGC 5253,314.859593,30.1061332,407,3,Koribalski2004AJ....128...16K,27.68,0.02,Tully2009AJ....138..323T
NGC 5264,315.7172215,31.7090357,478,3,Koribalski2004AJ....128...16K,28.4,0.07,Tully2009AJ....138..323T
NGC 5408,317.1568128,19.5002779,506,3,Makarov2014A&A...570A..13M,28.63,0.07,Tully2009AJ....138..323T
NGC 5474,100.8319374,60.194845,275,2,Davies1980MNRAS.191..253D,29.17,0.13,Tikhonov2015AstL...41..239T
NGC 5477,101.598543,59.4906278,312,2,Davies1980MNRAS.191..253D,29.15,0.13,Tikhonov2015AstL...41..239T
NGC 5585,100.9974529,56.4737506,303,4.1,Springob2005ApJS..160..149S,29.23,,Anand2021AJ....162...80A
NGC 6503,100.5729049,30.6391903,25,1,Epinat2008MNRAS.388..500E,28.98,0.06,Tully2009AJ....138..323T
NGC 6789,94.9736325,21.517023,-141,9,Karachentsev1998A&A...331..891K,27.75,0.04,Tully2009AJ....138..323T
NGC 7793,4.5223894,-77.1703908,227,2,Koribalski2004AJ....128...16K,27.8,0.08,Tully2009AJ....138..323T
PGC1242,62.5627469,-81.4384373,670,2,Makarov2014A&A...570A..13M,29.11,,
PGC 20125,268.953031,-21.150137,564,1,Kirby2012MNRAS.420.2924K,28.62,0.11,Tully2009AJ....138..323T
PGC 34671,146.6556106,56.9824814,605.1,7,,29.98,,
PGC 42730,299.6259282,50.4255551,1154,4,Crosby2025MNRAS.536.2072C,29.9,,
PGC 51659,319.8257416,13.3764371,391.5,1.7,Begum2008MNRAS.386.1667B,27.79,0.23,Tully2009AJ....138..323T
PGC 138836,200.0089735,-8.3885381,428,4,Makarov2014A&A...570A..13M,28.7,0.7,Karachentsev1996A&A...315..348K
PGC 166069,138.4111889,-0.2233861,59.2,0.6,Huchtmeier2003A&A...401..483H,28.69,,Karachentsev2013AJ....145..101K
PGC 170257,314.6400484,40.8290947,650,29,daCosta1998AJ....116....1D,28.45,,
PGC 39646,281.325525,67.8056131,669,9,Haynes2011AJ....142..170H,28.56,,Karachentsev2013AJ....145..101K
PGC 704814,9.1114024,-77.7167363,299,89,Karachentsev2013AJ....145..101K,27.82,0.1,Karachentsev2021AJ....161..205K
PGC 725719,311.0562574,32.6348215,648,90,Kaldare2003MNRAS.339..652K,28.45,,
PGC 1059300,307.0150679,58.4432513,539.6,89,Karachentsev2013AJ....145..101K,27.81,,Karachentsev2013AJ....145..101K
PGC 2601822,96.7116951,10.7768577,26,4,Makarov2014A&A...570A..13M,29.44,,
PGC 3272767,303.7869081,57.5650785,660,123,Karachentsev2013AJ....145..101K,28.53,,Karachentsev2013AJ....145..101K
PGC 4560429,190.7049903,79.5787888,494.1,18,SDSS2015ApJS..219...12A,28.69,,Karachentsev2013AJ....145..101K
PGC 4561602,204.0817282,77.4751503,502.5,13.7,SDSS2015ApJS..219...12A,28.67,,Karachentsev2013AJ....145..101K
Pisces A,108.5231901,-51.0298813,235.7,0.6,Beale2020ApJ...903...59B,28.76,0.06,Tollerud2016ApJ...827...89T
Pisces B,133.8284051,-51.1618168,607,35,Tollerud2015ApJ...798L..21T,29.75,0.2,Tollerud2016ApJ...827...89T
SBS 1224+533,131.2430635,63.6248384,291,1,Karachentsev2024A&A...684L..24K,28.93,,Anand2021AJ....162...80A
UGC 64,114.0864771,-21.2443395,305,17,Braun2003A&A...406..829B,29.56,,Anand2021AJ....162...80A
UGC 288,118.632636,-19.2532517,187,0.5,Huchtmeier2003A&A...401..483H,29.17,0.05,Tully2009AJ....138..323T
UGC 685,128.4306828,-46.0176683,156.3,1.7,Begum2008MNRAS.386.1667B,28.41,0.02,Tully2009AJ....138..323T
UGC 1104,136.4799409,-43.4676726,688,16.7,Springob2005ApJS..160..149S,29.39,,Sharina1996A&AS..119..499S
UGC 1171,139.5867212,-45.4043275,738,2,Makarov2014A&A...570A..13M,30.03,0.22,Carlsten2022ApJ...933...47C
UGC 1176,139.724969,-45.3717399,631,1,Haynes2011AJ....142..170H,29.78,0.2,Sharina1996A&AS..119..499S
UGC 1281,136.872066,-28.701634,143,4,Makarov2014A&A...570A..13M,28.61,0.01,Tully2009AJ....138..323T
UGC 1703,142.0992278,-27.0061511,40,20,Karachentsev2015Ap.....58..309K,28.17,0.03,Tully2009AJ....138..323T
UGC 1807,139.9881884,-17.1155061,628,6,Schneider1992ApJS...81....5S,29.99,,
UGC 2157,145.2550093,-19.5391409,489,4,Makarov2014A&A...570A..13M,30.083,,
UGC 2165,145.3292464,-19.3045969,740,43,Makarov2014A&A...570A..13M,30.16,0.17,Carlsten2022ApJ...933...47C
UGC 2684,166.3226257,-32.7475095,350,4.1,Springob2005ApJS..160..149S,29.25,,Anand2021AJ....162...80A
UGC 2716,166.7766768,-31.8244236,381,0.5,Huchtmeier2003A&A...401..483H,29.12,,Anand2021AJ....162...80A
UGC 2773,148.8103043,-6.8402273,220,6,Makarov2014A&A...570A..13M,28.22,0.5,Nasonova2011A&A...532A.104N
UGC 2905,174.3078153,-27.3115435,293,3,Makarov2014A&A...570A..13M,28.83,0.4,Georgiev1997AstL...23..514G
UGC 3600,177.372718,17.4750909,412,,Karachentsev2013AJ....145..101K,30.04,0.23,Tully2009AJ....138..323T
UGC 3698,172.9705714,21.6221344,421.4,0.3,Huchtmeier2003A&A...401..483H,30.26,0.43,Tully2009AJ....138..323T
UGC 4483,144.9676566,34.3804766,155.7,0.2,Huchtmeier2003A&A...401..483H,27.77,0.09,Tully2009AJ....138..323T
UGC 5086,208.8229093,44.6728043,491,4,Springob2005ApJS..160..149S,29.65,,Tully2009AJ....138..323T
UGC 5812,232.0777755,56.1356801,1009,2,Makarov2014A&A...570A..13M,30.27,,
UGC 5944,232.9641994,58.5086807,1073,27,Karachentsev2013AJ....145..101K,30.27,0.37,Carlsten2022ApJ...933...47C
UGC 6456,127.8368247,37.330059,-93.7,1.7,Begum2008MNRAS.386.1667B,28.33,0.04,Tully2009AJ....138..323T
UGC 6541,151.9023961,63.2747983,249.4,1.7,Begum2008MNRAS.386.1667B,28.13,0.12,Tully2009AJ....138..323T
UGC 6757,136.0612161,54.1196813,82,4,Aihara2011ApJS..193...29A,28.32,0.14,Tully2009AJ....138..323T
UGC 7242,128.8729125,50.6034208,66,1.7,Begum2008MNRAS.386.1667B,28.68,0.03,Tully2009AJ....138..323T
UGC 7298,135.2078247,64.0596039,174,1.7,Begum2008MNRAS.386.1667B,28.11,0.13,Tully2009AJ....138..323T
UGC 7356,138.4427519,69.0542855,269,17,Makarov2014A&A...570A..13M,29.31,0.02,Tully2009AJ....138..323T
UGC 7490,126.2362482,46.6202155,466,2,Makarov2014A&A...570A..13M,30.22,0.4,Makarov2014A&A...570A..13M
UGC 7596,285.5599449,70.7360566,565,6,Haynes2011AJ....142..170H,28.31,,Karachentsev2013AJ....145..101K
UGC 7605,150.9930477,80.1349473,310,1.7,Begum2008MNRAS.386.1667B,28.38,0.14,Tully2009AJ....138..323T
UGC 7636,287.1411919,70.1417007,469,16,Schneider1990ApJS...72..245S,28.58,,Karachentsev2013AJ....145..101K
UGC 7929,288.9319659,84.1324436,387,,Kim2014ApJS..215...22K,28.22,,
UGC 8215,114.5849342,70.0298813,224.2,1.7,Begum2008MNRAS.386.1667B,28.3,0.06,Tully2009AJ....138..323T
UGC 8245,121.8876426,38.1565523,-26,3,BraltsKelly2017ApJ...848L..10B,28.37,0.02,Tully2009AJ....138..323T
UGC 8313,107.4578601,74.2380736,596,8,Makarov2014A&A...570A..13M,29.71,0.13,Carlsten2022ApJ...933...47C
UGC 8638,23.2762918,78.9867187,276,1.7,Begum2008MNRAS.386.1667B,28.16,0.03,Tully2009AJ....138..323T
UGC 8833,69.7146743,73.958009,221,1.7,Begum2008MNRAS.386.1667B,27.69,0.05,Newman2024ApJ...966..175N
UGC 8882,103.2604319,60.4420947,348.3,24.3,AdelmanMcCarthy2007ApJS..172..634A,29.21,0.14,Carlsten2022ApJ...933...47C
UGC 9405,98.7090358,54.7072212,218,22,Richter1991A&AS...87..425R,28.82,0.02,Tully2009AJ....138..323T
UGC 11411,101.3258144,23.9947142,88,3,BraltsKelly2017ApJ...848L..10B,29.09,0.04,Tully2009AJ....138..323T
UGC 12894,112.3102038,-22.3207032,335,22,Schneider1992ApJS...81....5S,29.78,,Anand2021AJ....162...80A
UGCA 92,144.7029826,10.5105612,-94.6,1.7,Begum2008MNRAS.386.1667B,27.54,0.07,Tully2009AJ....138..323T
UGCA 105,148.5216222,13.6581234,111,5,Schmidt2014A&A...561A..28S,27.65,0.21,Tully2009AJ....138..323T
UGCA 281,134.1457901,68.0827249,280,3,Makarov2014A&A...570A..13M,28.78,0.05,Tully2009AJ....138..323T
UGCA 287,295.9370393,51.9536224,1001,1,Crosby2025MNRAS.536.2072C,29.9,,
UGCA 292,148.2806751,83.7224116,308.3,0.1,Huchtmeier2003A&A...401..483H,27.93,0.18,Tully2009AJ....138..323T
UGCA 319,306.6166588,45.5569501,755,4,Koribalski2004AJ....128...16K,28.8,0.07,Karachentsev2018ApJ...858...62K
UGCA 337,107.5610974,74.6924841,460,5,Huchtmeier2009A&A...506..677H,29.4,0.19,Carlsten2022ApJ...933...47C
UGCA 365,314.6112418,32.6110421,577,1.7,Begum2008MNRAS.386.1667B,28.67,0.03,Tully2009AJ....138..323T
UGCA 442,10.6984669,-74.5315927,267,2,Koribalski2004AJ....128...16K,28.2,0.07,Tully2009AJ....138..323T
